run_id,problem_id,dataset,phase,model,question,true_answer,predicted_answer_raw,is_correct,decision_method,coherence_avg,total_tokens,cost_usd,elapsed_seconds,error,thesis_text,synthesis_text,has_error,prompt_tokens,completion_tokens,error_category
s2_06_mamv_20251126_162805,gsm8k_0006,gsm8k,tas_mamv,deepseek-chat,"Don throws 3 darts.  One is a bullseye worth 50 points.  One completely missed the target, so received no points. The third was worth half the points of the bullseye.  What is the final score from these 3 throws?",75.0,,False,,0.0,0,0.0,0.0,[Errno 111] Connection refused,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0007,gsm8k,tas_mamv,deepseek-chat,"TreQuan is throwing rocks in the river and he notices that the bigger the rock, the wider the splash. Pebbles make a splash that is a 1/4 meter wide. Rocks make a splash that is 1/2 a meter wide, and boulders create a splash that is 2 meters wide. If he tosses 6 pebbles, 3 rocks, and 2 boulders, what is the total width of the splashes he makes?",7.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0008,gsm8k,tas_mamv,deepseek-chat,"Pauly is making omelets for his family. There are three dozen eggs, and he plans to use them all. Each omelet requires 4 eggs. Including himself, there are 3 people. How many omelets does each person get?",3.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0009,gsm8k,tas_mamv,deepseek-chat,"Thomas made 4 stacks of wooden blocks. The first stack was 7 blocks tall. The second stack was 3 blocks taller than the first. The third stack was 6 blocks shorter than the second stack, and the fourth stack was 10 blocks taller than the third stack. If the fifth stack has twice as many blocks as the second stack, how many blocks did Thomas use in all?",55.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0010,gsm8k,tas_mamv,deepseek-chat,Trace has five shopping bags that weigh the same amount as Gordon’s two shopping bags. One of Gordon’s shopping bags weighs three pounds and the other weighs seven. Trace’s shopping bags all weigh the same amount. How many pounds does one of Trace’s bags weigh?,2.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0011,gsm8k,tas_mamv,deepseek-chat,A library has a number of books. 35% of them are intended for children and 104 of them are for adults. How many books are in the library?,160.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0012,gsm8k,tas_mamv,deepseek-chat,"Nicky is trading baseball cards with Jill. If Nicky trades two cards worth $8 each for 1 card worth $21, how many dollars of profit does he make?",5.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0013,gsm8k,tas_mamv,deepseek-chat,"Patricia is making a highlight film about her basketball team. She recorded video of every player and plans to put it all together in a longer movie. She has 130 seconds of the point guard, 145 seconds of the shooting guard, 85 seconds of the small forward, 60 seconds of the power forward, and 180 seconds of the center. How on average, how many minutes does each player get?",2.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0014,gsm8k,tas_mamv,deepseek-chat,"Julie, Letitia and Anton decided to have dinner together at a nearby restaurant.  Julie orders $10 worth of food, Letitia orders $20 worth of food, and Anton orders $30 worth of food.  How much should each pay in tips if they want to split a 20% tip for the whole meal evenly?",4.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0015,gsm8k,tas_mamv,deepseek-chat,Niko has bought 9 pairs of socks that cost $2 each and plans to resell them. He wants to gain 25% profit from four of the pairs of socks and $0.2 profit each for the other 5 pairs of socks. How much will his total profit be?,3.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0016,gsm8k,tas_mamv,deepseek-chat,"The number of short students in a class is 2/5 of the total number of students. If there are 90 tall students, and the class has 400 students, calculate the total number of students with average height.",150.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0017,gsm8k,tas_mamv,deepseek-chat,James buys 20 coins of a cryptocurrency at $15 each.  The value of the coins increases by 2/3.  He sells coins to recoup his original investment.  How many coins did he sell?,12.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0018,gsm8k,tas_mamv,deepseek-chat,"In the park, the first rose bush has 12 red flowers.  The second rose bush has 18 pink flowers.  The third rose bush has 20 yellow flowers.  The fourth rose bush has 8 orange flowers.  For her vase, Lorelei picks 50% of the red roses, 50% pink roses, 25% of the yellow roses, and 25% orange roses. How many roses are in her vase?",22.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0019,gsm8k,tas_mamv,deepseek-chat,"Tonya has opened a lemonade stand selling lemonade in small, medium, and large cups at $1, $2 and $3 respectively. At the close of business she ended up making $50.  As she went back through her inventory she noticed that she sold $11 worth of small lemonades and $24 worth of medium lemonades. How many cups of large lemonade did Tonya sell?",5.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0020,gsm8k,tas_mamv,deepseek-chat,"Leo's assignment was divided into three parts. He finished the first part of his assignment in 25 minutes. It took him twice as long to finish the second part. If he was able to finish his assignment in 2 hours, how many minutes did Leo finish the third part of the assignment?",45.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0021,gsm8k,tas_mamv,deepseek-chat,Connor is taking his date to the movies.  The tickets cost $10.00 each.  They decided to get the large popcorn & 2 drink combo meal for $11.00 and each grab a box of candy for $2.50 each.  How much will Connor spend on his date?,36.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0022,gsm8k,tas_mamv,deepseek-chat,Susie has 572 beans in the jar. One-fourth of them are red and one-third of the remaining beans are white. Then half of the remaining are green beans. How many green beans are there?,143.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0023,gsm8k,tas_mamv,deepseek-chat,"Jim collects model cars, and he has 301 models total.  Jim has 4 times as many Buicks as Fords, and 3 more than twice the number of Fords than Chevys.  How many Buicks does Jim have?",220.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0024,gsm8k,tas_mamv,deepseek-chat,"Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?",3.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
s2_06_mamv_20251126_162805,gsm8k_0025,gsm8k,tas_mamv,deepseek-chat,"Wendy spent 25 years as an accountant and 15 years as an accounting manager. If Wendy lived to be 80 years old, what percentage of her life did she spend in an accounting-related job?",50.0,,False,,0.0,0,0.0,0.0,Failed to reach API at http://127.0.0.1:8613/api/,,,,,,
